"","Order","Family","Species_Common_Name","Species_Latin_Name","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"148","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Yellow-throated Euphonia","Euphonia hirundinacea","Blood_Hg_ppm","Belize",7,"0.003 ± 0.003",109.614,"2008—2021","0.001—0.008"
"149","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Yellow-throated Euphonia","Euphonia hirundinacea","Body_Hg_ppm","Belize",7,"0.042 ± 0.029",70.255,"2021","0.01—0.096"
"150","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Yellow-throated Euphonia","Euphonia hirundinacea","Tail_Hg_ppm","Belize",8,"0.083 ± 0.059",71.129,"2010—2021","0.023—0.217"
"151","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Yellow-throated Euphonia","Euphonia hirundinacea","Tail_Hg_ppm","Costa Rica",8,"0.083 ± 0.059",71.129,"2010—2021","0.023—0.217"
"152","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Yellow-throated Euphonia","Euphonia hirundinacea","Tail_Hg_ppm","Nicaragua",8,"0.083 ± 0.059",71.129,"2010—2021","0.023—0.217"
"153","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Black-banded Woodcreeper","Dendrocolaptes picumnus","Body_Hg_ppm","Peru",1,"1.507",NA,"2019","NA"
"154","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Buff-throated Foliage-gleaner","Automolus ochrolaemus","Tail_Hg_ppm","Peru",1,"1.85",NA,"2018","NA"
"155","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Buff-throated Woodcreeper","Xiphorhynchus guttatus","Body_Hg_ppm","Peru",4,"2.412 ± 0.885",36.674,"2019","1.502—3.625"
"156","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Buff-throated Woodcreeper","Xiphorhynchus guttatus","Tail_Hg_ppm","Peru",1,"0.615",NA,"2018","NA"
"157","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Chestnut-crowned Foliage-gleaner","Automolus rufipileatus","Body_Hg_ppm","Peru",3,"1.277 ± 1.092",85.514,"2018—2019","0.599—2.536"
"158","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Chestnut-crowned Foliage-gleaner","Automolus rufipileatus","Tail_Hg_ppm","Peru",2,"1.029 ± 0.542",52.638,"2018","0.646—1.412"
"159","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Chestnut-winged Hookbill","Ancistrops strigilatus","Body_Hg_ppm","Peru",1,"2.32",NA,"2019","NA"
"160","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Chestnut-winged Hookbill","Ancistrops strigilatus","Tail_Hg_ppm","Peru",1,"0.316",NA,"2018","NA"
"161","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Cinnamon-rumped Foliage-gleaner","Philydor pyrrhodes","Tail_Hg_ppm","Peru",1,"0.652",NA,"2018","NA"
"162","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Cocoa Woodcreeper","Xiphorhynchus susurrans","Blood_Hg_ppm","Costa Rica",4,"0.055 ± 0.022",39.807,"2010","0.032—0.084"
"163","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Elegant Woodcreeper","Xiphorhynchus elegans","Body_Hg_ppm","Peru",6,"3.866 ± 2.34",60.522,"2019","1.247—7.106"
"164","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Elegant Woodcreeper","Xiphorhynchus elegans","Tail_Hg_ppm","Peru",1,"3.411",NA,"2019","NA"
"165","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ivory-billed Woodcreeper","Xiphorhynchus flavigaster","Blood_Hg_ppm","Belize",1,"0.156",NA,"2021","NA"
"166","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ivory-billed Woodcreeper","Xiphorhynchus flavigaster","Body_Hg_ppm","Belize",1,"1.972",NA,"2021","NA"
"167","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ivory-billed Woodcreeper","Xiphorhynchus flavigaster","Tail_Hg_ppm","Belize",1,"1.622",NA,"2021","NA"
"168","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Long-tailed Woodcreeper","Deconychura longicauda","Body_Hg_ppm","Peru",2,"1.346 ± 0.175",13.012,"2019","1.222—1.47"
"169","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Long-tailed Woodcreeper","Deconychura longicauda","Tail_Hg_ppm","Peru",2,"0.924 ± 0.187",20.203,"2018","0.792—1.056"
"170","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Northern Barred-Woodcreeper","Dendrocolaptes sanctithomae","Blood_Hg_ppm","Costa Rica",2,"0.295 ± 0.038",12.944,"2010—2011","0.268—0.322"
"171","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ocellated Woodcreeper","Xiphorhynchus ocellatus","Body_Hg_ppm","Peru",3,"1.058 ± 0.474",44.766,"2019","0.539—1.467"
"172","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ocellated Woodcreeper","Xiphorhynchus ocellatus","Tail_Hg_ppm","Peru",3,"1.354 ± 1.127",83.245,"2018","0.245—2.499"
"173","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Olivaceous Woodcreeper","Sittasomus griseicapillus","Blood_Hg_ppm","Belize",2,"0.112 ± 0.045",40.505,"2008—2019","0.08—0.144"
"174","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Olivaceous Woodcreeper","Sittasomus griseicapillus","Tail_Hg_ppm","Belize",6,"1.102 ± 0.311",28.248,"2010—2019","0.671—1.524"
"175","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Olivaceous Woodcreeper","Sittasomus griseicapillus","Tail_Hg_ppm","Nicaragua",6,"1.102 ± 0.311",28.248,"2010—2019","0.671—1.524"
"176","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Olivaceous Woodcreeper","Sittasomus griseicapillus","Tail_Hg_ppm","Panama",6,"1.102 ± 0.311",28.248,"2010—2019","0.671—1.524"
"177","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Olivaceous Woodcreeper","Sittasomus griseicapillus","Tail_Hg_ppm","Peru",6,"1.102 ± 0.311",28.248,"2010—2019","0.671—1.524"
"178","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Olive-backed Foliage-gleaner","Automolus infuscatus","Body_Hg_ppm","Peru",1,"4.263",NA,"2019","NA"
"179","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Pale-legged Hornero","Furnarius leucopus","Body_Hg_ppm","Colombia",5,"16.631 ± 10.243",61.588,"2019—2023","3.769—28.494"
"180","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Pale-legged Hornero","Furnarius leucopus","Body_Hg_ppm","Peru",5,"16.631 ± 10.243",61.588,"2019—2023","3.769—28.494"
"181","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain Xenops","Xenops minutus","Blood_Hg_ppm","Belize",1,"0.045",NA,"2008","NA"
"182","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain Xenops","Xenops minutus","Body_Hg_ppm","Belize",3,"1.467 ± 0.855",58.282,"2019—2021","0.815—2.435"
"183","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain Xenops","Xenops minutus","Body_Hg_ppm","Peru",3,"1.467 ± 0.855",58.282,"2019—2021","0.815—2.435"
"184","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain Xenops","Xenops minutus","Tail_Hg_ppm","Belize",5,"0.788 ± 0.424",53.749,"2010—2021","0.257—1.213"
"185","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain Xenops","Xenops minutus","Tail_Hg_ppm","Nicaragua",5,"0.788 ± 0.424",53.749,"2010—2021","0.257—1.213"
"186","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain Xenops","Xenops minutus","Tail_Hg_ppm","Peru",5,"0.788 ± 0.424",53.749,"2010—2021","0.257—1.213"
"187","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain-brown Woodcreeper","Dendrocincla fuliginosa","Blood_Hg_ppm","Costa Rica",11,"0.102 ± 0.061",59.638,"2010—2013","0.05—0.241"
"188","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain-brown Woodcreeper","Dendrocincla fuliginosa","Body_Hg_ppm","Peru",2,"3.477 ± 0.229",6.587,"2019","3.315—3.639"
"189","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain-brown Woodcreeper","Dendrocincla fuliginosa","Tail_Hg_ppm","Peru",3,"1.994 ± 0.555",27.842,"2018","1.483—2.585"
"190","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Plain-crowned Spinetail","Synallaxis gujanensis","Body_Hg_ppm","Peru",1,"0.829",NA,"2019","NA"
"191","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Red-billed Scythebill","Campylorhamphus trochilirostris","Tail_Hg_ppm","Peru",1,"1.771",NA,"2018","NA"
"192","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ruddy Treerunner","Margarornis rubiginosus","Tail_Hg_ppm","Costa Rica",1,"1.869",NA,"2010","NA"
"193","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ruddy Woodcreeper","Dendrocincla homochroa","Blood_Hg_ppm","Belize",14,"0.382 ± 0.125",32.604,"2007—2021","0.222—0.598"
"194","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ruddy Woodcreeper","Dendrocincla homochroa","Body_Hg_ppm","Belize",1,"3.632",NA,"2021","NA"
"195","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Ruddy Woodcreeper","Dendrocincla homochroa","Tail_Hg_ppm","Belize",3,"3.719 ± 0.503",13.538,"2007—2021","3.31—4.281"
"196","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Rufous-breasted Spinetail","Synallaxis erythrothorax","Blood_Hg_ppm","Belize",4,"0.061 ± 0.049",81.385,"2007—2021","0.01—0.128"
"197","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Rufous-breasted Spinetail","Synallaxis erythrothorax","Body_Hg_ppm","Belize",3,"2.308 ± 2.41",104.386,"2021","0.574—5.06"
"198","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Rufous-breasted Spinetail","Synallaxis erythrothorax","Tail_Hg_ppm","Belize",3,"0.7 ± 0.254",36.322,"2007—2021","0.458—0.965"
"199","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Spot-crowned Woodcreeper","Lepidocolaptes affinis","Tail_Hg_ppm","Costa Rica",1,"1.617",NA,"2010","NA"
"200","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Straight-billed Woodcreeper","Dendroplex picus","Body_Hg_ppm","Colombia",5,"7.182 ± 8.078",112.474,"2019—2023","0.682—19.466"
"201","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Straight-billed Woodcreeper","Dendroplex picus","Body_Hg_ppm","Peru",5,"7.182 ± 8.078",112.474,"2019—2023","0.682—19.466"
"202","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Straight-billed Woodcreeper","Dendroplex picus","Tail_Hg_ppm","Panama",3,"1.861 ± 1.405",75.508,"2011—2019","0.465—3.275"
"203","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Straight-billed Woodcreeper","Dendroplex picus","Tail_Hg_ppm","Peru",3,"1.861 ± 1.405",75.508,"2011—2019","0.465—3.275"
"204","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Streak-headed Woodcreeper","Lepidocolaptes souleyetii","Blood_Hg_ppm","Belize",2,"0.145 ± 0.017",11.796,"2008","0.133—0.157"
"205","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Streak-headed Woodcreeper","Lepidocolaptes souleyetii","Tail_Hg_ppm","Costa Rica",1,"0.36",NA,"2011","NA"
"206","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Striped Woodcreeper","Xiphorhynchus obsoletus","Body_Hg_ppm","Peru",1,"2.119",NA,"2019","NA"
"207","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tawny-winged Woodcreeper","Dendrocincla anabatina","Blood_Hg_ppm","Belize",21,"0.201 ± 0.147",73.42,"2007—2021","0.001—0.607"
"208","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tawny-winged Woodcreeper","Dendrocincla anabatina","Blood_Hg_ppm","Costa Rica",21,"0.201 ± 0.147",73.42,"2007—2021","0.001—0.607"
"209","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tawny-winged Woodcreeper","Dendrocincla anabatina","Body_Hg_ppm","Belize",8,"1.618 ± 1.425",88.109,"2021","0.604—4.965"
"210","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tawny-winged Woodcreeper","Dendrocincla anabatina","Tail_Hg_ppm","Belize",13,"1.761 ± 1.009",57.298,"2007—2021","0.67—4.641"
"211","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tawny-winged Woodcreeper","Dendrocincla anabatina","Tail_Hg_ppm","Costa Rica",13,"1.761 ± 1.009",57.298,"2007—2021","0.67—4.641"
"212","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Wedge-billed Woodcreeper","Glyphorynchus spirurus","Blood_Hg_ppm","Belize",23,"0.021 ± 0.056",267.14,"2008—2011","0.004—0.278"
"213","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Wedge-billed Woodcreeper","Glyphorynchus spirurus","Blood_Hg_ppm","Costa Rica",23,"0.021 ± 0.056",267.14,"2008—2011","0.004—0.278"
"214","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Wedge-billed Woodcreeper","Glyphorynchus spirurus","Body_Hg_ppm","Peru",8,"0.654 ± 0.502",76.713,"2018—2019","0.229—1.568"
"215","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Wedge-billed Woodcreeper","Glyphorynchus spirurus","Tail_Hg_ppm","Peru",8,"0.72 ± 0.378",52.473,"2018—2019","0.359—1.451"
"216","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","White-chinned Woodcreeper","Dendrocincla merula","Body_Hg_ppm","Peru",4,"4.316 ± 1.511",35.001,"2019","2.196—5.552"
"217","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","White-chinned Woodcreeper","Dendrocincla merula","Tail_Hg_ppm","Peru",2,"2.558 ± 0.832",32.508,"2018","1.97—3.146"
"218","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Xiphorhynchus sp.","Xiphorhynchus sp.","Body_Hg_ppm","Peru",1,"1.283",NA,"2019","NA"
"219","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Yellow-chinned Spinetail","Certhiaxis cinnamomeus","Blood_Hg_ppm","Colombia",2,"0.67 ± 0.072",10.765,"2023","0.619—0.721"
"220","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Yellow-chinned Spinetail","Certhiaxis cinnamomeus","Body_Hg_ppm","Colombia",2,"1.891 ± 0.949",50.172,"2023","1.22—2.562"
"221","Passeriformes","Hirundinidae (Swallows)","Barn Swallow","Hirundo rustica","Blood_Hg_ppm","Nicaragua",3,"0.007 ± 0.003",37.749,"2014","0.004—0.009"
"222","Passeriformes","Hirundinidae (Swallows)","Brown-chested Martin","Progne tapera","Blood_Hg_ppm","Colombia",1,"0.361",NA,"2023","NA"
"223","Passeriformes","Hirundinidae (Swallows)","Brown-chested Martin","Progne tapera","Body_Hg_ppm","Colombia",1,"6.774",NA,"2023","NA"
"224","Passeriformes","Hirundinidae (Swallows)","Mangrove Swallow","Tachycineta albilinea","Blood_Hg_ppm","Nicaragua",1,"0.02",NA,"2012","NA"
"225","Passeriformes","Hirundinidae (Swallows)","Northern Rough-winged Swallow","Stelgidopteryx serripennis","Blood_Hg_ppm","Belize",2,"0.173 ± 0",0.147,"2008—2009","0.173—0.173"
"226","Passeriformes","Hirundinidae (Swallows)","Southern Rough-winged Swallow","Stelgidopteryx ruficollis","Body_Hg_ppm","Peru",1,"4.427",NA,"2019","NA"
"227","Passeriformes","Hirundinidae (Swallows)","White-banded Swallow","Atticora fasciata","Body_Hg_ppm","Peru",2,"3.14 ± 0.358",11.404,"2019","2.887—3.394"
"228","Passeriformes","Icteridae (Troupials and Allies)","Baltimore Oriole","Icterus galbula","Blood_Hg_ppm","Belize",3,"0.01 ± 0.002",21.534,"2010—2012","0.008—0.012"
"229","Passeriformes","Icteridae (Troupials and Allies)","Baltimore Oriole","Icterus galbula","Blood_Hg_ppm","Nicaragua",3,"0.01 ± 0.002",21.534,"2010—2012","0.008—0.012"
"230","Passeriformes","Icteridae (Troupials and Allies)","Black-cowled Oriole","Icterus prosthemelas","Blood_Hg_ppm","Belize",1,"0.007",NA,"2021","NA"
"231","Passeriformes","Icteridae (Troupials and Allies)","Black-cowled Oriole","Icterus prosthemelas","Tail_Hg_ppm","Belize",1,"0.232",NA,"2021","NA"
"232","Passeriformes","Icteridae (Troupials and Allies)","Great-tailed Grackle","Quiscalus mexicanus","Blood_Hg_ppm","Mexico",15,"0.071 ± 0.108",150.893,"2012—2014","0.011—0.421"
"233","Passeriformes","Icteridae (Troupials and Allies)","Great-tailed Grackle","Quiscalus mexicanus","Blood_Hg_ppm","Nicaragua",15,"0.071 ± 0.108",150.893,"2012—2014","0.011—0.421"
"234","Passeriformes","Icteridae (Troupials and Allies)","Great-tailed Grackle","Quiscalus mexicanus","Tail_Hg_ppm","Nicaragua",5,"0.781 ± 0.738",94.591,"2014","0.1—1.654"
"235","Passeriformes","Icteridae (Troupials and Allies)","Melodious Blackbird","Dives dives","Tail_Hg_ppm","Nicaragua",1,"0.313",NA,"2010","NA"
"236","Passeriformes","Icteridae (Troupials and Allies)","Orchard Oriole","Icterus spurius","Blood_Hg_ppm","Nicaragua",3,"0.017 ± 0.004",22.716,"2012","0.014—0.021"
"237","Passeriformes","Icteridae (Troupials and Allies)","Streak-backed Oriole","Icterus pustulatus","Blood_Hg_ppm","Nicaragua",1,"0.015",NA,"2012","NA"
"238","Passeriformes","Icteridae (Troupials and Allies)","Yellow-billed Cacique","Amblycercus holosericeus","Blood_Hg_ppm","Belize",7,"0.064 ± 0.087",136.235,"2007—2021","0.016—0.259"
"239","Passeriformes","Icteridae (Troupials and Allies)","Yellow-billed Cacique","Amblycercus holosericeus","Body_Hg_ppm","Belize",3,"0.409 ± 0.224",54.719,"2021","0.166—0.606"
"240","Passeriformes","Icteridae (Troupials and Allies)","Yellow-billed Cacique","Amblycercus holosericeus","Tail_Hg_ppm","Belize",6,"0.263 ± 0.081",30.92,"2007—2021","0.14—0.362"
"241","Passeriformes","Icteriidae (Yellow-breasted Chat)","Yellow-breasted Chat","Icteria virens","Blood_Hg_ppm","Belize",4,"0.049 ± 0.053",109.078,"2007—2021","0.006—0.12"
"242","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Gray Catbird","Dumetella carolinensis","Blood_Hg_ppm","Belize",9,"0.022 ± 0.012",52.128,"2007—2009","0.012—0.048"
"243","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Northern Mockingbird","Mimus polyglottos","Blood_Hg_ppm","Dominican Republic",5,"0.051 ± 0.003",6.643,"2017","0.045—0.053"
"244","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Pearly-eyed Thrasher","Margarops fuscatus","Blood_Hg_ppm","Dominican Republic",2,"0.005 ± 0.003",49.873,"2010—2017","0.003—0.007"
"245","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Pearly-eyed Thrasher","Margarops fuscatus","Blood_Hg_ppm","Puerto Rico",2,"0.005 ± 0.003",49.873,"2010—2017","0.003—0.007"
"246","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Pearly-eyed Thrasher","Margarops fuscatus","Tail_Hg_ppm","Puerto Rico",1,"0.124",NA,"2010","NA"
"247","Passeriformes","Nesospingidae (Puerto Rican Tanager)","Puerto Rican Tanager","Nesospingus speculiferus","Blood_Hg_ppm","Puerto Rico",2,"0.004 ± 0.003",79.838,"2010","0.002—0.006"
"248","Passeriformes","Nesospingidae (Puerto Rican Tanager)","Puerto Rican Tanager","Nesospingus speculiferus","Tail_Hg_ppm","Puerto Rico",2,"0.11 ± 0.05",45.434,"2010","0.075—0.146"
"249","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Royal Flycatcher","Onychorhynchus coronatus","Blood_Hg_ppm","Belize",3,"0.368 ± 0.328",89.091,"2008—2021","0.014—0.662"
"250","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Royal Flycatcher","Onychorhynchus coronatus","Body_Hg_ppm","Belize",1,"0.663",NA,"2021","NA"
"251","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Royal Flycatcher","Onychorhynchus coronatus","Tail_Hg_ppm","Belize",1,"0.333",NA,"2021","NA"
"252","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Ruddy-tailed Flycatcher","Terenotriccus erythrurus","Blood_Hg_ppm","Costa Rica",2,"0.063 ± 0.052",83.057,"2011","0.026—0.1"
"253","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Ruddy-tailed Flycatcher","Terenotriccus erythrurus","Tail_Hg_ppm","Peru",2,"0.534 ± 0.288",53.843,"2018—2019","0.331—0.738"
"254","Passeriformes","Parulidae (New World Warblers)","American Redstart","Setophaga ruticilla","Blood_Hg_ppm","Belize",12,"0.286 ± 0.163",56.865,"2007—2017","0.1—0.665"
"255","Passeriformes","Parulidae (New World Warblers)","American Redstart","Setophaga ruticilla","Blood_Hg_ppm","Dominican Republic",12,"0.286 ± 0.163",56.865,"2007—2017","0.1—0.665"
"256","Passeriformes","Parulidae (New World Warblers)","American Redstart","Setophaga ruticilla","Blood_Hg_ppm","Nicaragua",12,"0.286 ± 0.163",56.865,"2007—2017","0.1—0.665"
"257","Passeriformes","Parulidae (New World Warblers)","Black-and-white Warbler","Mniotilta varia","Blood_Hg_ppm","Belize",20,"0.106 ± 0.052",48.977,"2007—2021","0.033—0.257"
"258","Passeriformes","Parulidae (New World Warblers)","Black-and-white Warbler","Mniotilta varia","Blood_Hg_ppm","Dominican Republic",20,"0.106 ± 0.052",48.977,"2007—2021","0.033—0.257"
"259","Passeriformes","Parulidae (New World Warblers)","Black-and-white Warbler","Mniotilta varia","Blood_Hg_ppm","Mexico",20,"0.106 ± 0.052",48.977,"2007—2021","0.033—0.257"
"260","Passeriformes","Parulidae (New World Warblers)","Cape May Warbler","Setophaga tigrina","Blood_Hg_ppm","Dominican Republic",2,"0.004 ± 0.003",70.711,"2017","0.002—0.006"
"261","Passeriformes","Parulidae (New World Warblers)","Common Yellowthroat","Geothlypis trichas","Blood_Hg_ppm","Belize",21,"0.117 ± 0.083",70.561,"2007—2021","0.015—0.4"
"262","Passeriformes","Parulidae (New World Warblers)","Common Yellowthroat","Geothlypis trichas","Blood_Hg_ppm","Dominican Republic",21,"0.117 ± 0.083",70.561,"2007—2021","0.015—0.4"
"263","Passeriformes","Parulidae (New World Warblers)","Common Yellowthroat","Geothlypis trichas","Blood_Hg_ppm","Mexico",21,"0.117 ± 0.083",70.561,"2007—2021","0.015—0.4"
"264","Passeriformes","Parulidae (New World Warblers)","Common Yellowthroat","Geothlypis trichas","Blood_Hg_ppm","Nicaragua",21,"0.117 ± 0.083",70.561,"2007—2021","0.015—0.4"
"265","Passeriformes","Parulidae (New World Warblers)","Connecticut Warbler","Oporornis agilis","Blood_Hg_ppm","Costa Rica",1,"0.065",NA,"2010","NA"
"266","Passeriformes","Parulidae (New World Warblers)","Flame-throated Warbler","Oreothlypis gutturalis","Tail_Hg_ppm","Costa Rica",1,"0.177",NA,"2010","NA"
"267","Passeriformes","Parulidae (New World Warblers)","Golden-crowned Warbler","Basileuterus culicivorus","Tail_Hg_ppm","Nicaragua",3,"0.511 ± 0.266",52.121,"2010","0.304—0.811"
"268","Passeriformes","Parulidae (New World Warblers)","Hooded Warbler","Setophaga citrina","Blood_Hg_ppm","Belize",27,"0.388 ± 0.623",160.854,"2007—2021","0.047—2.659"
"269","Passeriformes","Parulidae (New World Warblers)","Hooded Warbler","Setophaga citrina","Blood_Hg_ppm","Dominican Republic",27,"0.388 ± 0.623",160.854,"2007—2021","0.047—2.659"
"270","Passeriformes","Parulidae (New World Warblers)","Kentucky Warbler","Geothlypis formosa","Blood_Hg_ppm","Belize",28,"0.037 ± 0.016",43.433,"2007—2021","0.014—0.085"
"271","Passeriformes","Parulidae (New World Warblers)","Kentucky Warbler","Geothlypis formosa","Blood_Hg_ppm","Costa Rica",28,"0.037 ± 0.016",43.433,"2007—2021","0.014—0.085"
"272","Passeriformes","Parulidae (New World Warblers)","Louisiana Waterthrush","Parkesia motacilla","Blood_Hg_ppm","Belize",10,"0.285 ± 0.124",43.69,"2010—2021","0.098—0.468"
"273","Passeriformes","Parulidae (New World Warblers)","Louisiana Waterthrush","Parkesia motacilla","Blood_Hg_ppm","Costa Rica",10,"0.285 ± 0.124",43.69,"2010—2021","0.098—0.468"
"274","Passeriformes","Parulidae (New World Warblers)","Louisiana Waterthrush","Parkesia motacilla","Blood_Hg_ppm","Dominican Republic",10,"0.285 ± 0.124",43.69,"2010—2021","0.098—0.468"
"275","Passeriformes","Parulidae (New World Warblers)","Magnolia Warbler","Setophaga magnolia","Blood_Hg_ppm","Belize",7,"0.096 ± 0.055",57.583,"2007—2009","0.041—0.208"
"276","Passeriformes","Parulidae (New World Warblers)","Mourning Warbler","Geothlypis philadelphia","Blood_Hg_ppm","Belize",1,"0.028",NA,"2021","NA"
"277","Passeriformes","Parulidae (New World Warblers)","Northern Parula","Setophaga americana","Blood_Hg_ppm","Dominican Republic",2,"0.174 ± 0.025",14.264,"2017","0.156—0.191"
"278","Passeriformes","Parulidae (New World Warblers)","Northern Waterthrush","Parkesia noveboracensis","Blood_Hg_ppm","Belize",81,"0.208 ± 0.252",121.306,"2007—2021","0.001—1.804"
"279","Passeriformes","Parulidae (New World Warblers)","Northern Waterthrush","Parkesia noveboracensis","Blood_Hg_ppm","Costa Rica",81,"0.208 ± 0.252",121.306,"2007—2021","0.001—1.804"
"280","Passeriformes","Parulidae (New World Warblers)","Northern Waterthrush","Parkesia noveboracensis","Blood_Hg_ppm","Dominican Republic",81,"0.208 ± 0.252",121.306,"2007—2021","0.001—1.804"
"281","Passeriformes","Parulidae (New World Warblers)","Northern Waterthrush","Parkesia noveboracensis","Blood_Hg_ppm","Mexico",81,"0.208 ± 0.252",121.306,"2007—2021","0.001—1.804"
"282","Passeriformes","Parulidae (New World Warblers)","Northern Waterthrush","Parkesia noveboracensis","Blood_Hg_ppm","Nicaragua",81,"0.208 ± 0.252",121.306,"2007—2021","0.001—1.804"
"283","Passeriformes","Parulidae (New World Warblers)","Ovenbird","Seiurus aurocapilla","Blood_Hg_ppm","Belize",19,"0.076 ± 0.058",75.75,"2007—2021","0.021—0.202"
"284","Passeriformes","Parulidae (New World Warblers)","Ovenbird","Seiurus aurocapilla","Blood_Hg_ppm","Dominican Republic",19,"0.076 ± 0.058",75.75,"2007—2021","0.021—0.202"
"285","Passeriformes","Parulidae (New World Warblers)","Prairie Warbler","Setophaga discolor","Blood_Hg_ppm","Dominican Republic",4,"0.144 ± 0.058",40.429,"2017","0.086—0.224"
